Designator,Mid X,Mid Y,Rotation,Layer
C1,67.698594,-69.955011,270.0,top
C10,73.99,-72.0425,90.0,top
C11,76.0,-72.0425,90.0,top
C12,52.3775,-68.25,180.0,top
C13,52.3775,-71.47,180.0,top
C14,52.3775,-74.58,180.0,top
C15,52.3775,-77.69,180.0,top
C16,52.3775,-65.31,180.0,top
C17,107.4925,-74.49,0.0,top
C18,107.4925,-77.5,0.0,top
C19,99.24,-77.26,180.0,top
C2,50.8725,-89.89,0.0,top
C20,108.59,-89.94,180.0,top
C3,74.02,-83.19,0.0,top
C4,85.96,-83.21,180.0,top
C5,107.4925,-65.46,0.0,top
C6,107.4925,-68.47,0.0,top
C7,107.4925,-71.48,0.0,top
C8,85.7,-71.5,270.0,top
D1,92.6125,-82.84,0.0,top
D2,67.4,-82.8,180.0,top
D3,58.2,-82.97,0.0,top
D4,101.42,-83.35,180.0,top
D5,80.91,-80.3,0.0,top
J1,79.805817,-94.644509,0.0,top
Q1,56.2875,-85.83,180.0,top
Q2,103.2575,-86.34,180.0,top
R1,56.34,-88.49,180.0,top
R10,60.498,-61.39,180.0,top
R11,64.204,-61.39,180.0,top
R12,67.91,-61.39,180.0,top
R13,71.616,-61.39,180.0,top
R14,75.322,-61.39,180.0,top
R15,53.43,-80.53,270.0,top
R16,51.48,-80.53,270.0,top
R17,79.25,-65.02,0.0,top
R18,79.24,-63.1,0.0,top
R19,84.88,-61.33,180.0,top
R2,55.5,-92.8,90.0,top
R20,88.58,-61.33,180.0,top
R21,92.28,-61.33,180.0,top
R22,95.98,-61.32,180.0,top
R23,99.68,-61.32,180.0,top
R24,103.38,-61.32,180.0,top
R25,84.585,-64.25,90.0,top
R26,108.86,-80.4,270.0,top
R27,106.96,-80.4,270.0,top
R28,108.6,-84.2,180.0,top
R29,108.58,-86.11,180.0,top
R3,58.2,-67.12,180.0,top
R30,108.58,-88.01,0.0,top
R31,103.275,-88.99,180.0,top
R32,104.43,-93.19,90.0,top
R33,60.57,-64.32,90.0,top
R34,82.685,-64.25,90.0,top
R4,50.8425,-87.95,180.0,top
R5,50.84,-86.05,0.0,top
R6,50.84,-84.15,0.0,top
R7,55.93,-64.31,90.0,top
R8,58.62,-64.32,90.0,top
R9,56.792,-61.39,180.0,top
U1,61.218594,-73.365011,270.0,top
U2,80.13,-72.17,90.0,top
U3,95.571908,-70.721421,180.0,top
