Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C19, C8",CP_EIA-7343-15_Kemet-W_Pad2.25x2.55mm_HandSolder,3,22uF_LowR,C2798130
"C10, C11",0805,2,220nF,C5378
"C12, C13, C14, C15, C16, C17, C18, C2, C20, C5, C6, C7",0805,12,100nF,C28233
"C3, C4",0805,2,10uF,C440198
"D1, D2",D_SMA_Handsoldering,2,D_Schottky,C22452
"D3, D4",D_SOD-123,2,D_Zener,C173413
D5,D_SMA,1,D_Zener,C235776
"D6, D7",D_SMB,2,D_16V_Zener,C2940079
"H1, H2, H3, H4",MountingHole_4mm,4,MountingHole,
"JP1, JP26",SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,2,Jumper_3_Open,
"JP10, JP11, JP12, JP13, JP14, JP15, JP16, JP2, JP21, JP22, JP23, JP24, JP25, JP3, JP4, JP9",SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,16,SJC,
"JP17, JP18, JP19, JP20, JP5, JP6, JP7, JP8",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,8,SJO,
"Q1, Q2",SOT-23,2,PNP,C8326
"Q3, Q4",TO-252-2,2,SUD50P10-43L,C913430
"R1, R31",0805,2,2.2K,C17520
"R10, R11, R12, R13, R14, R19, R20, R21, R22, R23, R24, R9",0805,12,1k,C17513
"R15, R27",0805,2,255k,C3016493
"R16, R26",0805,2,1M,C17514
"R17, R18, R2, R3, R32, R7",0805,6,10k,C17414
"R25, R33, R34, R8",0805,4,100k,C2828840
"R28, R29, R30, R4, R5, R6",0805,6,4.7k,C17673
"R35, R36",0805,2,3k,C17661
"R37, R38",SMD_Res 3W 12x5.8 & 2512,2,100R 2W/3W,C309610
"TP1, TP2",TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,2,TestPoint,
"U1, U3",DRV103 No Heatsink,2,DRV103 SO-8,C1879940
U2,SOP65P490X110-9N,1,TPS7B8250QDGNRQ1,C424924
